Rank,Name,Tags,Rating
801,Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul,"mob, reigen, dimple, and the newest member of the spirit and such consult offic staff, serizawa, take a trip up to a seclud hot spring call ibogami hot spring in zebra prefecture. reigen happen to get a request from the matron there to discov the truth behind the strang rumor go around there and save the inn. ritsu and teru also join in on thi trip and the six of them head out on thi super relax trip to the hot spring. but on their way there, reigen and serizawa start nod off on the train and somehow get suck into an eeri parallel world... one action comedi shounen psychic power psycholog school life supernatur superpow base on a manga 2019 movi highrank",4.02
802,Real Girl 2nd Season,"the popular iroha igarashi and reclus hikari tsutsui continu to navig the tumultu water of young love and what it mean to be true to yourself. as their relationship grow and deepens, new and difficult challeng threaten to break them apart. while they are commit to overcom everyth that come their way as a couple, someth may be too much for them to conquer. maonanami comedi romanc shoujo school life base on a manga 2019 miniseri highrank",4.02
803,Kuroko's Basketball: Let's Do That Again,the rise of the phantom sixth man. tadatoshifujimaki shounen sport basketbal base on a manga 2014 movi highrank,4.02
804,The World is Still Beautiful,"nike, the fourth princess of the princip of rain and one who hold the power to call forth the rain, travel to the sun kingdom to marri sun king liviu for her country, despit her own reluctance. she soon discov that the king, who conquer the world in onli three year after hi ascend to the throne, is still a child!! furthermore, for trivial reasons, he ha demand that nike call forth the rain…!? daishiina fantasi romanc shoujo age gap arrang marriag lifestyl chang royalti base on a manga 2014 miniseri highrank",4.02
805,High School DxD BorN,"the babe and boy of the occult research club are back! lovabl loser (and bust buff) issei and hi clan of bewitch beauti return for a new season of supernatur tussl and sexi shenanigans—featur old friend and new enemies! now that all the girl live in issei home, life seem like noth but fun and scantily-clad lounging…for now! join rias, akeno, koneko, asia, xenovia, gasper, and everyon favorit harem king issei as they fight, fumble, and fondl their way through their demon high school lives. tetsuyayanagisawa action ecchi fantasi harem shounen angel contemporari fantasi demon newli co-e school non-human protagonist nors mytholog school life base on a light novel nudity, sexual content 2015 miniseri highrank",4.02
806,xxxHOLiC Movie: A Midsummer Night's Dream,"watanuki face challeng in everi area. spirit chase him, hi best friend doumeki isnt realli a friend, and hi boss yuuko seem to have mistaken him for a servant come housewife. when yuuko request that both of them join her in accept a special invit to a collector house, he can just hear the troubl coming. upon arrival, the hous prove to be more than a bit unusual, and the other guest are almost scari with their fanat collecting. but, the worst thing about the situat is the knowledg that for all the weird watanuki can see, it is absolut certain that the mysteri are way more complic that he thinks. depend on yuuko arcan knowledg may be the onli hope. clamp seinen japanes mytholog supernatur base on a manga 2005 movi highrank",4.02
807,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,"when bell encount a frighten littl girl in the dungeon, he doesn’t think twice to help. but thi simpl act of kind ha consequences. the girl is a monster and proof that monster can be eerili human. and not everyon can accept this... hidekitachibana action fantasi harem dungeon guild monster rpg swordplay base on a light novel matur themes, violence, self-harm 2020 miniseri highrank",4.02
808,Girls' Last Tour,"two young girl travel through a desol landscap in search of food, water, and fuel for their preciou kettenkrad motorbike. although the world they wander through is a lone one, chito and yuuri find happi in the littl thing they encount on their journey: a forgotten suppli of militari rations, a hot bath thank to a leaki pipe in an abandon power plant, or the discoveri of\xa0a lone autonom robot protect guard a solitari fish. even if human civil is dead, these two can alway find someth to live for. tsukumizu adventur drama sci fi seinen slice of life iyashikei melancholi orphan post-apocalypt base on a manga 2017 miniseri highrank",4.02
810,Blood Blockade Battlefront & Beyond,second season of blood blockad battlefront. yasuhironightow action sci fi shounen episod supernatur superpow vampir base on a manga violenc 2017 miniseri highrank,4.02
811,Lucky Star OVA,"konata, tsukasa, kagami and miyuki are four ordinari high school girl who live their live from day to day. howev with their own brand of humour, and konata’ seemingli endless suppli of anime, manga and game references; the girl can make even their mundan everyday adventur that littl bit more enjoyable. whether they are talk to their friend’ dog, turn a gym class game of volleybal into a match between sisters, get lost on a hike or even play onlin rpg game with their teacher, the live of these friend is anyth but dull. kagamiyoshimizu comedi shounen slice of life gag otaku cultur base on a 4-koma manga base on a manga 2008 movi highrank",4.02
812,When They Cry: Higurashi,"maebara keiichi, an ordinari high-school boy, ha transfer to a new school in hinamizawa, a small rural village. at the outset everyth seem peac and keiichi becom friend with a nice group of schoolgirl with whom he spend mani idl summer afternoons. suddenli violenc encroach upon the bliss peac of the villag and keiichi becom entangl in an endless cycl of fear and death. the inconsistent, but inevit horror of hinamizawa are told and retold becom an endless and inescap nightmar of insanity. will it end even if the mysteri of hinamizawa is solved? chiakikon horror mysteri countrysid curs psycholog school life thriller base on a visual novel emot abuse, explicit violence, matur themes, physic abuse, domest abus 2006 longseri highrank",4.02
813,Baby Steps,"the stori follow ei-chan, a punctual and earnest boy who ha strive for straight as sinc elementari school. the 15-year-old high school boy stop by a tenni school to deal with hi lack of exercise. there, he meet natsu, a beautiful, earnest girl who onli ha passion for tennis. in turn, he awaken a deep passion for tenni within himself. hikarukachiki shounen sport school life tenni tournament base on a manga 2014 longseri highrank",4.02
814,Final Fantasy VII: Advent Children,"in a time of great heroes, the evil sephiroth and the power of meteor were vanquish by a warrior name cloud strife and hi companions. now, though the life stream of the world ha been restored, certain peopl have becom sick with geo stigma -- an ill which is as mysteri as it is incurable. meanwhile, in the shadows, a new enemi ha appeared: kadaj, who hold the key to the destruct of all life. against insurmount odds, cloud, tifa, barrett, cid and the rest of the gang must band togeth one last time to defeat kadaj and save the world from annihilation. tetsuyanomura action fantasi martial art swordplay base on a video game cg anim 2005 movi highrank",4.02
815,Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni,"no synopsi yet - check back soon! naoyoshishiotani sci fi cyberpunk dystopia noir polic origin work explicit violence, nuditi 2019 movi highrank",4.02
816,The Cat Returns,"one afternoon on her way home from school, haru save a cat from get run over by a truck and promptli get the shock of her life when it stand on it hind leg to thank her. that night, she is greet by a parad of felin who inform haru that her earlier heroic save the princ of the cat kingdom. haru suddenli find herself inund with gift of mice and catnip as mean of thanks, culmin in the announc that she will be taken to their kingdom to marri the prince. with no desir to marri princ lune, haru turn to the baron and muta from the cat bureau for help, but unabl to stop them, haru is swept away by a hord of cats. can haru prevent thi marriag of inconveni and return home befor she becom a cat herself? aoihiiragi fantasi anim protagonist anim transform anthropomorph cat contemporari fantasi famili friendli non-human protagonist base on a manga 2002 movi highrank",4.02
817,Yumeiro Pâtissière,"fourteen-year-old amano ichigo is a would-b pâtissièr who acquir her love of sweet from her late grandmother’ desserts. after meet the talent henri luca at a local sweet festa, amano convinc her parent to let her attend the culinari mari academi so that she can fulfil her dream. however, as she’ onli arm with a posit attitud and no real cook skills, amano quickli find herself at the bottom of the class. luckily, she soon meet vanilla, a sweet spirit who’ here to help amano reach her full potential. alongsid good friend such as rumi and the three gorgeou princ of sweets, amano will bake, mix and sift her way to the top! natsumimatsumoto fantasi shoujo bake culinari school famili friendli food and beverag school life base on a manga 2009 longseri highrank",4.02
818,D.Gray-man Hallow,"allen walker is an exorcist work for the black order whose mission is to protect mankind from the evil millennium earl and hi deadli akuma. allen and hi comrad must recov lost innoc while defend against the earl terrifi army. but if they fail, innoc will be lost forever. katsurahoshino action adventur shounen afterlif demon exorcist supernatur superpow base on a manga 2016 miniseri highrank",4.02
819,Sword Art Online Movie: Ordinal Scale,"in 2026, two year sinc the sao incident, a new game call oridin scale, an augmented-r mmo, is becom popular among the players. but strang thing are happen in the game and kirito and the gang are face a new danger. tomohikoit action mmorpg overpow main charact person in a strang world pve virtual realiti base on a light novel nuditi 2017 movi highrank",4.02
820,Wushang Shen Di 2nd Season,the second season of\xa0wushang shen di. woniukuangben action fantasi ancient china chines anim short episod base on a web novel cg anim 2021 longseri highrank,4.02
821,Hungry Days x One Piece,no synopsi yet - check back soon! eiichirooda commerci food and beverag parodi promot school life short episod 2019 ova highrank,4.02
822,Paprika,"in japan, a team of scientist have creat a medic breakthrough: a devic that allow the wearer to enter the dream of a patient, for the purpos of healing. the talent paprika is a master at her profession, but complic have now appear in the form of a “dream terrorist” – an unknown foe who insert nightmar into the mind of those who use the device. the victim are swept up in a ghoulish parad of dolls, kitchen appliances, and music animals, and are reduc to a veget state – or worse. now, paprika and the team of scientist must delv into the mind of those affect to figur out the sourc of the tamper befor more people, includ themselves, are damag beyond repair. satoshikon sci fi dream world hack psycholog base on a novel nuditi 2006 movi highrank",4.02
823,Revue Starlight Movie,no synopsi yet - check back soon! tomohirofurukawa drama abstract all-girl school childhood friend showbiz origin work violenc 2021 movi highrank,4.02
824,Magical Girl Lyrical Nanoha A's,"six month after the jewel seed incident, nanoha is still use her magic power to help the time-spac administr bureau maintain dimension stability. however, new adversari involv with the dread book of dark lost logia have appeared, wield weapon system that far outclass nanoha\ rais heart and fate\ bardiche. nanoha, fate and friend must now find a way to match the strength of their new oppon and onc again use their power to prevent a larg time-spac disast from happen – an event which threaten not onli their world, but multipl dimensions! keizoukusakawa fantasi magic girl seinen contemporari fantasi disabl henshin hero magic urban fantasi origin work 2005 miniseri highrank",4.02
825,Liz and the Blue Bird,"mizor yoroizuka play the oboe, and nozomi kasaki play the flute in kita uji high school concert band. as seniors, thi will be their last competit together, and the select piec “liz and the blue bird” featur a duet for the obo and flute. “thi piec remind me of us.” nozomi say cheerfully, enjoy the solo, while mizor usual happi to play with nozomi is ting with the dread of their inevit parting. by all account the girl are best friends, but the obo and flute duet sound disjointed, as if underscor a grow distanc between them. talk of colleg creat a small rift in their relationship, as the stori evolv to reveal a shock and emot conclus naokoyamada music school club school life base on a novel 2018 movi highrank",4.02
826,Thunderbolt Fantasy 3,the third season of thunderbolt fantasy. yoshikazuiwanami action fantasi ancient china swordplay wuxia origin work 2021 miniseri highrank,4.02
827,Detective Conan OVA 10: Kid in Trap Island,"kaitou kid ha a new target: a larg diamond by the name of the artemi teardrop. it is current locat on koyakejima island, and detect nakamori is lay in wait readi to catch hi nemesis. as fate would have it, the long-suff policeman isn’t the onli of kid’ rival present, as conan and the gang are accompani sonoko to a parti on the veri same island. as the young detect inadvert let the thief slip through hi fingers, it seem that kid ha made a perfect getaway. however, when the detect boy bring the teen down and then mistak him for shinichi, hi escap won’t be so easi after all, especi when the island itself ha a few trick up it sleeve… goshoaoyama mysteri shounen age transform detect island polic thiev base on a manga 2010 movi highrank",4.02
828,Attack on Titan: Ilse's Notebook,"it’ been 15 year sinc mankind success captur a titan, and for hang zoe, noth is more import than final acquir a live specimen. as the origin goal of the survey corp wa to find out the titans’ identities, hang urg erwin to let them complet thi task, levi and the other member hunt down an abnorm to take into custody. but thing don’t go exactli as planned, especi when the group discov the corps of a survey corp member that a titan hid insid of a tree, along with a diari that shed new light on their mysteri foe... hajimeisayama action fantasi horror shounen dark fantasi isol societi outsid world post-apocalypt base on a manga cannibalism, violenc 2013 ova highrank",4.02
830,The Garden of Words,"when takao decid to skip school one day in favor of sketch in a raini garden, he ha no idea how much hi life will chang when he encount yukino. older, but perhap not as much wiser, she seem adrift in the world. despit the differ in their ages, they strike up an unusu relationship that alway occur in the same garden on each raini day. but the raini season is come to a close, and there are so mani thing still left unsaid and undon between them. makotoshinkai drama romanc age gap loneli melancholi origin work 2013 movi highrank",4.02
831,Tsurune,"when minato narumiya join prefectur kazemai high school, he is quickli invit to join the archeri club by the club\ advisor, tommy-sensei. hi childhood friend seiya takehaya and ryohei yamanouchi swiftli agre to join, but minato is hesit at first. ryohei end up drag him along to the club briefing, where they also meet nanao kisaragi and kaito onogi. minato, seiya, ryohei, nanao, kaito—f young men brought togeth by archery. what will their struggl through the bittersweet time known as youth bring into their lives? takuyayamamura sport archeri school club school life tournament base on a light novel 2018 miniseri highrank",4.01
832,Lupin III: Part IV,"the new stori take place in itali and san marino, and featur a blue-jacket lupin in hi 20’s. lupin the 3rd follow the escapad and adventur of master thief arsen lupin iii, a brilliant thief who ha been abl to carri off heist no one ever thought possible. although he ha been arrest and jail on multipl occasions, he ha alway manag to escape. monkeypunch action comedi crimin europ itali thiev 2015 courseri highrank",4.01
833,Saint Seiya: The Lost Canvas - Meiou Shinwa,"the holi war, a battl fought between the goddess athena and the underworld king hades, ha been take place sinc the age of legends. thi stori take place in the 18th centuri - far befor the era of saint seiya. it is a new stori involv the pegasu saints, the underworld king hades, and the goddess athena! when hade finish hi giant paint that cover the sky, the lost canvas, it is said that all live on earth will be lost. tenma, who becam a pegasu saint, wish to stop hi best friend alone, who wa chosen to becom a vessel for hades. look out for him as he head for hades\ castle! shioriteshirogi action fantasi sci fi shounen 18th centuri europ god greek mytholog hand to hand combat histor non-human protagonist power suit superpow base on a manga violenc 2009 miniseri highrank",4.01
834,Anohana: The Flower We Saw That Day Movie,"a year ha pass sinc menma ghostli return to the super peac busters. although the time they spent togeth dure that summer wa short, the five member reminisc about what happen as they each write a letter to their lost friend. tatsuyukinagai drama romanc childhood friend come of age death of a love one ghost recap supernatur origin work 2013 movi highrank",4.01
835,Outlaw Star,"gene starwind and jim hawk make a live on variou job and bounties. while wait for their ticket to hit it big time, a mysteri woman name hilda leav them with a key to the puzzl of find a starship of great power, known onli as the outlaw star. what are these long lost spaceship and what is the galact leyline? takehikoito action adventur comedi sci fi seinen mercenari outer space base on a manga nuditi 1998 longseri highrank",4.01
836,Little Witch Academia TV,"akko kagari as a child watch the witch shini chariot perform a show, and from then on dream of becom a witch. she enter the luna nova academy, a school for witch that shini chariot attended. in thi new town she meet new friend and start a new school life. at the school she ha lesson on ride broom and the wonder of magic, but akko and her friend lott and suci keep get wrap up in tumultu events. yohyoshinari adventur fantasi magic magic school school life witch origin work 2017 longseri highrank",4.01
837,Magical Girl Lyrical Nanoha The MOVIE 1st,"takamachi nanoha is a normal fourth-grad who feel a littl useless and out-of-plac with no purpose. then one day, she save a ferret, who turn out to be a mage from anoth planet who came to thi planet to search for the jewel seeds. nanoha agre to help, but thi task get complic when anoth girl arriv to steal them. keizoukusakawa action fantasi magic girl contemporari fantasi henshin hero magic recap urban fantasi origin work matur themes, nudity, domest abus 2010 movi highrank",4.01
838,Glass Mask (2005),"maya is a dreami young girl whose clumsi is match onli by her absent-mindedness. while other have given up on her, the legendari actress tsukikag see her hidden potenti and offer to take maya under her tutelage. maya love the theatr more than anything, and as there not much she can do about it at home, she choos to run away with tsukikage. the world of theatr is harsh, however, especi for a naiv young girl far away from home. while she find new friend who support her, her mentor ha power enemi and maya is often on the receiv end of their ruthless plans. in face of the adversity, maya must constantli fight to develop her skill to catch up with her unbeliev talent rival, ayumi, if she hope to inherit tsukikag legendari role: the crimson goddess. suzuemiuchi drama romanc shoujo act showbiz work life base on a manga 2005 longseri highrank",4.01
839,"Hora, Mimi ga Mieteru yo! 2","da shu and miao are back in china from their vacation\xa0in japan, and da shu must decid what to do about hi grow feel for miao. dong dong, meanwhile, ha move into the apart across the hall from them, and ha a new love interest of hi own... hi cat-lov colleg professor! can these cat boy navigate\xa0the\xa0stormi sea of love while make sure to keep their secret - and their ear - hidden from the world? telexihu bl comedi fantasi romanc shounen-ai slice of life age gap anim characterist anim transform cat contemporari fantasi interspeci relationship manga industri non-human protagonist orphan roommat short episod writer base on a webtoon 2019 miniseri highrank",4.01
840,Detective Conan Movie 17: Zekkai no Private Eye,"after win a prize to a militari ship cruise, conan and the other are left with the task of find the culprit among them as the secur of the whole countri rest on their shoulders. goshoaoyama action mysteri shounen age transform detect thriller base on a manga 2013 movi highrank",4.01
841,Sword Art Online: Alicization,"kirito awaken in a vast, fantast forest fill with tower trees. in hi search for clue to the truth of hi surroundings, he encount a young boy who seem to know him. he ought to be a simpl npc, but the depth of hi emot seem no differ than a human. as they search for the boy parents, kirito find a peculiar memori return to him. a memori from hi own childhood, of thi boy and a girl, too, with golden hair, and a name he should have never forgotten... alice. manabuono action fantasi sci fi mediev overpow main charact person in a strang world rpg virtual realiti base on a light novel explicit violence, matur themes, physic abuse, sexual abus 2018 courseri highrank",4.01
842,The Irregular at Magic High School: Reminiscence Arc,"in 2092, okinawa wa suddenli invad without warn by an unknown enemi force. miyuki and her mother were caught up in the battl that ensued, leav them in dire strait where they were all but helpless, reli on the help of a lone young man... name tatsuya. thi is the stori of how the shiba sibl got where they are now! tsutomusat action drama sci fi shounen magic sibl supernatur base on a light novel 2021 movi highrank",4.01
843,Kill La Kill,"ryuuko matoi is a fiery, feisti girl on a veng mission: she’ll find her father’ murder at all costs, with onli a giant red scissor blade as a clue to the villain’ whereabouts. use the item as a weapon, she fight her way into the terrifi honnouji academi to track down a lead, unawar that the institut is brutal govern by a student council that’ anyth but ordinary. wield special “goku uniforms”, the group, led by presid satsuki, use superpow to keep the student bodi in check - but thing are about to chang now that ryuuko’ in town! hiroyukiimaishi action comedi ecchi sci fi alien anim conspiraci rebellion school life superpow swordplay origin work matur themes, physic abuse, sexual abuse, violence, domest abus 2013 courseri highrank",4.01
844,Girls und Panzer das Finale: Part 1,no synopsi yet - check back soon! yoshikazuiwanami action militari militari school school club school life tournament origin work 2017 movi highrank,4.01
845,Akame ga Kill!,"under the rule of a tyrann empire, tatsumi, a young swordsman, leav hi home to save hi poverti stricken village. he meet a girl name akame, an assassin who wa bought, brainwash and train to kill by the empire. akam is a member of the secret assassin group call “night raid” who use special weapon call teigu. together, tatsumi and the member of night raid confront the corrupt empire. takahiro action fantasi shounen assassin dark fantasi lifestyl chang rebellion urban fantasi vigilant base on a manga explicit violenc 2014 courseri highrank",4.01
846,Yuru Yuri San☆Hai!,third season of yuru yuri. namori comedi gl seinen shoujo-ai slice of life school club school life base on a manga 2015 miniseri highrank,4.01
847,Alderamin on the Sky,"the huge katvana empir is at war with the neighbor kioka republic. in a corner of the empire, a young man is about be caught up in the flame of war. hi name is iwata soroku. he lazy, a philanderer, and he hate war. he about as far from a soldier as you can get. on hi way toward the next stage of offic qualif exams, he and hi childhood friend yatorishino igsem encount the nurs traine harouma beckle, mashuu tetrijirch, a member of the old militari faction, and torwey lemion.... tetsuoichimura action fantasi seinen gun militari war base on a light novel 2016 miniseri highrank",4.01
848,Aria the Natural,"akari\ train as a gondoli at the prestigi aria compani continues. of cours for akari, the differ between train and just have fun is sometim nonexistent! she and the rest of the a-team face new adventur in the crook and cranni of the city: hunt down an elus treasure, look for a secret conclav of cats, or just help out the postman. thi time with doubl the chibi and tripl the punyuus, akari and friend learn more about how life goe on at it leisur pace, to the lazi beat of neo venezia. kozueamano sci fi shounen slice of life apprenticeship iyashikei ocean work life base on a manga 2006 longseri highrank",4.01
849,Detective Conan Movie 7: Crossroad in the Ancient Capital,"recently, member of a group of thiev known as the genjibotaro have been method murdered; their assail is unknown. meanwhile, detect mouri ha been call to the sannou templ in kyoto to find a stolen buddha statue, and he ha brought conan along with him. with the help of heiji hattori, our hero must solv these cases; are they connect in some way? goshoaoyama mysteri shounen age transform detect thiev base on a manga 2003 movi highrank",4.01
850,Ghost Hunt,"mai taniyama is a first year high school student who live a carefre life tell ghost stori with her friends. one day, she meet kazuya shibuya, the head of shibuya psychic research (spr); and together, she tag along to help him investig paranorm activ in a haunt school building. hi assist lin wa hurt dure an incid to protect mai from danger, so what more can mai do than to take the job as shibuya assistant? along with a team of other ghost hunters, they will uncov the mysteri of a strang case come their way, while mai start to discov her own abilities. fuyumiono horror shoujo curs detect ghost hunter supernatur base on a light novel 2006 longseri highrank",4.01
851,The Daily Life of the Immortal King 2,the second season of the daili life of the immort king. kuxuan comedi fantasi chines anim cultiv overpow main charact school life urban fantasi base on a web novel 2021 miniseri highrank,4.01
852,Food Wars! The Fifth Plate,fifth season of food wars! yuutotsukuda comedi ecchi shounen cook culinari school food and beverag base on a manga 2020 miniseri highrank,4.01
853,Love Live! The School Idol Movie,"although μ’s, the defend champion of the school idol tournament, plan to dissolv their group after the graduat of their senior members, they receiv news that lead them to hold a concert event! the 9 girl continu to learn and grow in thi new and unfamiliar world. what is the last thing that these girl can do as school idols? with the clock ticking, what kind of mean will the μ’ member find in perform the most excit live performance? takahikokyougoku idol music 2015 movi highrank",4.01
854,Hi Score Girl II,second season of hi score girl. rensukeoshikiri comedi seinen histor video game industri base on a manga cg anim 2019 movi highrank,4.01
855,Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,no synopsi yet - check back soon! goroutaniguchi mecha sci fi real robot recap 2008 movi highrank,4.01
856,Baka and Test - Summon the Beasts 2,"it’ summer time, and even when they’r not at school, the student of class 2-f are as idiot as ever. with akihisa and yuji attempt to pick up girl at the beach and a simpl trip to the festiv turn into a cross-dress beauti pageant, the holiday are prove to be just as stress for the boys. but even back at school, life doesn\t settl down. with hideyoshi and hi sister swap place for the day, game of strip doubt after class, and academ train camps, it seem thi semest will be just as hectic as the last. shinoonuma comedi chibi magic magic school school life base on a light novel 2011 miniseri highrank",4.01
857,Kakushigoto,"singl father kakushi goto ha a secret. he’ a top-sel artist of popular erot manga, but hi impression young daughter, hime, can never find out! now he’ have to bend over backward just to keep her inquisit littl mind from discov what he doe for a living. a father-daught tale of love and laughter. koujikumeta comedi drama shounen slice of life childcar manga industri singl parent base on a manga 2020 miniseri highrank",4.01
858,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"when a great assassin is reborn in anoth world, he find himself the heir to a long line of killer from the shadows. with both hi modern-day knowledg and experi and the special magic and techniqu of thi new world, he could veri well becom the most unstopp assassin in history…! ruitsukiyo action fantasi assassin cheat dark fantasi isekai magic modern knowledg nobil person in a strang world reincarn base on a light novel explicit violenc 2021 miniseri highrank",4.01
859,Lupin III: The Castle of Cagliostro,"after rob a casino and find out the entir take wa counterfeit, lupin and jigen are off to the duchi of cagliostro to find the sourc of thi trickery, and to stop it. upon arrival, the two becom entangl in a car chase between a woman in a wed dress and sever men in a black car. befor she is kidnapped, thi woman pass off a ring to lupin, a ring that spark hi interest more than counterfeit money ever could. unfortun for lupin it also grab the attent of those who want the ring back, and would kill him for it in a heartbeat. monkeypunch action seinen crimin thiev base on a manga 1979 movi highrank",4.01
860,Kuroko's Basketball OVA,no synopsi yet - check back soon! tadatoshifujimaki comedi shounen sport basketbal school life base on a manga 2013 movi highrank,4.01
861,Macross Frontier,"after be threaten by extinct at the hand of alien invad call the zentradi, human undertook the task of guarante itself a futur by launch fleet of coloni ship into space. on macross frontier, one such fleet, high school student saotom alto life is chang forever: the fleet is suddenli attack by unidentifi creatur while he is perform aerial stunt for a concert by the wildli popular idol sheryl. alto quickli find himself in the cockpit of a new-model fighter struggl to protect ranka lee, a young girl he met onli hour earlier, from the invad swath of destruction. note hi perform dure thi incident, the s.m.s. skull squadron privat militari compani invit alto to join their organization, where he continu protect hi friend and macross frontier. shoujikawamori action mecha romanc sci fi alien idol love triangl militari music outer space real robot space opera transform mecha origin work 2007 longseri highrank",4.01
863,The Story of Saiunkoku,"in an ancient and mytholog land call saiunkoku, the peopl have begun to recov from a period of war and famine; thus, when an offici from the imperi court offer the impoverish and beauti shuurei more money than she could ever dream of in return for a favor, she jump at the chance. what she doesn’t count on, however, is be ask to becom a concubin to the reclus emperor and help him transform into a better leader. what’ more, the emperor show littl intelligence, seem to have no interest in ruling, and is rumor to prefer men. one thing’ for certain: shuurei ha her work cut out for her! saiyukino drama fantasi revers harem romanc shoujo polit royalti social gap base on a light novel 2006 longseri highrank",4.01
864,"So I'm a Spider, So What?","i, the protagonist, wa just an ordinari high school girl, but suddenli i wa reincarn as a spider monster in a fantasi world. not onli that, but i awaken in a dungeon fill with viciou monsters. arm with onli my human knowledg and my overwhelm positivity, im forc to use spiderweb and trap to defeat far stronger monster just to stay alive... so begin the labyrinth surviv stori of a girl with incred mental strength live as one of the lowest-rank beasts! shinitagaki action adventur fantasi dungeon isekai monster non-human protagonist reincarn rpg weak to strong base on a light novel violenc 2021 courseri highrank",4.01
865,Mobile Suit Gundam Wing: Endless Waltz,"the year is after coloni 196. a year ha passed, and peac between earth and the space coloni is still a reality. with no need for weapon in a time without war, the major of the gundam pilot have decid to destroy their mobil suit by hurl them into the sun. however, one girl by the name of mariemaia khushrenada, daughter of treiz khushrenada, threaten thi peace. with the help of her grandfath dekim barton, mariemaia ha kidnap relena darlian and plan for total domination. the gundam pilot are the onli forc stand in mariemaia’ way, but will they be enough to stop her? yasunaoaoki action mecha sci fi outer space 1997 ova highrank",4.01
866,Legend of the Galactic Heroes: Spiral Labyrinth,"these short stori fill in the background of yang wenli prior to the overtur to a new war movie, and continu with the background of reinhard and kirchei where gaiden 1 left off. in these stories, yang becom the hero of el facil and is given a research investig of some delicacy, reinhard first assign to a ship at iserlohn, reinhard deal with a formal duel among the polit of the nobles, reinhard secret mission into free planet territory, and the third tiamat battle, wherein reinhard earn the rank of gener at the age of 19. noboruishiguro drama sci fi militari outer space polit space opera war base on a novel 1999 longseri highrank",4.01
867,Golden Kamuy,"in the earli twentieth century, russo-japanes war veteran saichi “immortal” sugimoto scratch out a meager exist dure the postwar gold rush in the wilder of hokkaido. when he stumbl across a map to a fortun in hidden ainu gold, he set off on a treacher quest to find it. but sugimoto is not the onli interest party, and everyon who know about the gold will kill to possess it! face with the harsh condit of the northern wilderness, ruthless crimin and rogu japanes soldiers, sugimoto will need all hi skill and luck—and the help of an ainu girl name asirpa—to survive. satorunoda adventur drama histor militari treasur hunter base on a manga violenc 2018 miniseri highrank",4.01
868,Major 2nd: Second Season,second season of major 2nd. takuyamitsuda sport basebal base on a manga 2020 longseri highrank,4.01
869,Sword Art Online,"the year is 2022, and gamer have line up on launch day for sword art online, a hotly-anticip mmorpg that\xa0let player connect to an immers virtual reality\xa0world with special helmet call nerv gear. kirito is one such\xa0gam whos\xa0eag to jump back into\xa0action, have spent a great deal of time\xa0a a beta tester,\xa0and quickli becom friend with newbi warrior\xa0klein. but soon, sword art onlin 10,000 player discov that not onli are they unabl to log out, the onli way they can return to their physic bodi is by beat the 100-level tower final boss - that is, if their hp doesnt drop to zero first, for death in the game mean death in the real world. now, with no one els to turn to, kirito and the other particip must surviv the game as best they can – some form guilds, other ruthlessli leav their peer behind, and mani tragic fall by the waysid or to the merciless monster popul the lands... tomohikoit action adventur fantasi sci fi dungeon high stake game mmorpg overpow main charact pve pvp rpg trap in a video game virtual realiti base on a light novel matur themes, physic abuse, sexual abuse, suicid 2012 longseri highrank",4.0
870,Your lie in April: Moments,no synopsi yet - check back soon! naoshiarakawa drama shounen music tournament base on a manga 2015 movi highrank,4.0
871,Kengan Ashura 2,"the annihil tournament rage on: corpor leader jockey for the kengan chairmanship while their gladiat beat each other bloodi in the ring. yabakosandrovich action drama hand to hand combat martial art tournament base on a manga cg anim explicit violence, matur themes, physic abus 2019 miniseri highrank",4.0
872,Detective Conan,"shinichi kudo is a famou teenag detect who idol sherlock holm and solv difficult case with ease. one day, after a fun day at the theme park with hi childhood friend ran, shinichi wit someth suspici and is knock unconscious. what’ worse, he’ forc to take a deadly, experiment drug that shrink hi bodi to the age of seven. to protect himself and hi love one from those who may want to finish the job, shinichi don the new name conan edogawa and move in with ran, whose father is a famou detective, in hope of close case that can lead him to the men in black. but littl doe shinichi know just how danger these men, and their cause, are... goshoaoyama drama mysteri shounen age transform crime detect episod polic secret ident base on a manga violenc 1996 longseri highrank",4.0
873,Detective Conan OVA 9: The Stranger of 10 Years,"while lie in bed with a cold, conan receiv a phone call from haibara offer him a chanc to tri the latest prototyp antidot to the apotoxin-4869 that turn him into a child. thrill at the chanc to turn back into shinichi kudo onc more and surpris hi friend at school, conan immedi take her up on the offer, despit hi high fever. after hi transformation, conan is amaz at how differ the world looks; but after arriv at school he slowli begin to realiz that he’ somehow manag to travel forward ten year in time! goshoaoyama shounen age transform detect school life time travel base on a manga 2009 movi highrank",4.0
874,The Witcher: Nightmare of the Wolf,"escap from poverti to becom a witcher, vesemir slay monster for coin and glory, but when a new menac rises, he must face the demon of hi past. kwangilhan action fantasi dark fantasi korean anim magic mediev monster base on a novel explicit violence, nuditi 2021 movi highrank",4.0
