Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
8565,Kenshi Yonezu: Koi to Byonetsu,,Music,,Minakata Laboratory,,,3.31,2012.0,,'No synopsis yet - check back soon!',,,,"Kenshi Yonezu
Music",Kenshi Yonezu : Music
8566,Luger Code 1951,,Web  ,1.0,Studio DEEN,Fall ,"Action, Sci Fi, Shounen, Animal Transformation, Shorts, Supernatural, Werewolves, Based on a Manga, Animal Abuse,, Mature Themes,, Physical Abuse,, Violence",3.31,2016.0,,"""17-year-old linguistic genius and university professor Testa Lielbelle is introduced by his senior, Sergeant Rossa, to the Allied Cryptanalysis Department. There, he is tasked to break the enemy werewolves' code, which the werewolves are using to encrypt their radio transmissions. Testa is astounded, as the only sound the encrypted code produces is the howling of a wolf. His research yields no results, and he resolves to capture a live werewolf for better cryptanalysis. After exhausting all possible means, he finally finds a female werewolf, Yonaga.""","Animal Abuse,, Mature Themes,, Physical Abuse,, Violence",Luger Code 1951,,"Alex Rossa, Testa Lielbert, Yonaga, Balke, Curtis, Frank, Volks, Haruto Haneki
Original Creator, Shinya Takahashi
Director, Ryou Kawasaki
Music, Hirofumi Morimoto
Character Design","Haruto Haneki : Original Creator, Shinya Takahashi : Director, Ryou Kawasaki : Music, Hirofumi Morimoto : Character Design"
8567,Shisukon Ouji,,TV   ,14.0,,,"Adventure, Based on a Manga",3.31,1963.0,1964.0,'No synopsis yet - check back soon!',,,,Shisukon Ouji : Kuniko Kashii,
8568,Kuusou Suizokukan,,OVA  ,2.0,,,"Family Friendly, Short Episodes",3.31,2015.0,2016.0,'No synopsis yet - check back soon!',,,,,
8569,Iconic Field, Nihon Animator Mihonichi: Iconic Field,Web  ,1.0,Khara,,"Action, Drama, Mecha, Sci Fi, Japan Animator's Exhibition, Shorts",3.31,2015.0,,"""People of star similar to Earth, built the civilization on the ground of the various places, like our world was so. And they were led to the global war by science force evolved. But in this star, there is a secret that don't know even for residents.""",,,,"Ikuto Yamashita
Director & Character Design, Monolith
Music, Se-Jun Kim
Character Design, Tomoyuki Ogata
Producer","Ikuto Yamashita : Director & Character Design, Monolith : Music, Se-Jun Kim : Character Design, Tomoyuki Ogata : Producer"
8570,Hitotsuboshi-ke no Ultra Baasan,,TV   ,13.0,Knack,,Comedy,3.31,1982.0,1983.0,'No synopsis yet - check back soon!',,,,"Masayuki Yamamoto
Music, Mitsutoshi Kubota
Color Design, Shuuichi Kakesu
Editor, Kimiyo Shimazaki
Key Animator, Toshiya Nonaka
Key Animator, Keiichi Katou
Key Animator, Masahiro Ootani
Key Animator, Akihiko Mamashita
Key Animator","Masayuki Yamamoto : Music, Mitsutoshi Kubota : Color Design, Shuuichi Kakesu : Editor, Kimiyo Shimazaki : Key Animator, Toshiya Nonaka : Key Animator, Keiichi Katou : Key Animator, Masahiro Ootani : Key Animator, Akihiko Mamashita : Key Animator"
8571,Ojisan and Marshmallow, Oji-san to Marshmallow,TV   ,12.0,Creators in Pack,Winter,"Comedy, Romance, Coworkers, Mature Romance, Romantic Comedy, Short Episodes, Work Life, Based on a Manga",3.31,2016.0,,"'Kusaka is an older man who loves marshmallows, and Wakabayashi is an OL (office lady) who loves Kusaka. Their relationship unfolds at their office.'",,Ojisan and Marshmallow,Ojisan and Marshmallow: Hige-san and Marshmallow,"Habahiro Kusaka : Tetsu Inada, Iori Wakabayashi : Eri Kitamura, Machida : Suzuna Kinoshita, Mio5 : Kana Hanazawa, Mukai : Kaori Taguchi, Hiroko : Sayaka Horino, Hiromi : Suzumi Fujimori, Isamu Wakabayashi : Tetsuya Kakihara, Rekomaru Otoi
Original Creator, Tokihiro Sasaki
Director, Hisayoshi Hirasawa
Director, Mari Shirakawa
Character Design","Rekomaru Otoi : Original Creator, Tokihiro Sasaki : Director, Hisayoshi Hirasawa : Director, Mari Shirakawa : Character Design"
8572,iMarine Project: Marine Mirage MMD,,Music,,,,CG Animation,3.31,2018.0,,'No synopsis yet - check back soon!',,,"iMarine Project: Marine Dreamin' MMD, iMarine Project: Marine Bloomin' MMD, iMarine Project: Dive to Blue MMD, iMarine Project: Marine Dreamin' MMD (2017), iMarine Project: DEEP BLUE TOWN e Oide yo MMD, iMarine Project: DEEP BLUE SONG MMD, iMarine Project: Sea Breeze MMD, iMarine Project: Sunny Days! MMD","Imarine, Wakamurap
Director",Wakamurap : Director
8573,Muzumuzu Eighteen,,TV   ,20.0,Spring 2016,,"Family Friendly, Short Episodes",3.31,2016.0,2017.0,'No synopsis yet - check back soon!',,,,,
8574,Eigo de Asobo: Tanken Goblin Tou,,TV   ,100.0,Gallop,,"Adventure, Comedy, Fantasy, Family Friendly",3.31,1990.0,1991.0,'No synopsis yet - check back soon!',,,,,
