Rank,Name,Episodes,Tags,Rating
7755,Valkyria Chronicles: Gallian Chronicles Theater,movie,No synopsis yet - check back soon! YasutakaYamamoto Action Comedy Military Based on a Video Game 2009,3.35
7756,Argonavis: Goal Line,movie,"The official music video for\xa0Goal Line, by Argonavis. Argonavis Music Rock Music CG Animation 2019",3.35
7758,Heisei Inu Monogatari Bow,longseries,"Bow is a stray bull terrier with a distinctive black circle around his left eye. After being adopted by the daughter of a not-so-cool\xa0yakuza\xa0(Japanese gangster) family, his silliness often turns the house upside down, but the boss can barely do anything because Bow is now the pet of his adorable daughter. TsuyoshiKaga Comedy Slice of Life Dogs 1993",3.35
7761,Santaruupaa,movie,No synopsis yet - check back soon! Karameru Comedy Animal Protagonists Christmas No Dialogue Non-Human Protagonists Shorts Slapstick 2020,3.35
7762,Medabots,longseries,"All young Ikki wants is to have his very own Medabot, but his parents insist that he purchase the machine with his own hard-earned money. Though he cant afford a top-of-the-line model, Ikki finds, by chance, a special medal in the river; with it, any Medabot will come to life and accept the commands of its owner. After a fellow classmate is bullied at school, Ikki rushes to buy an inferior model of Medabot and places his medal inside of it. While his new companion - which he dubs Metabee - is functional, theres one important problem: Metabee has a serious attitude problem and refuses to acknowledge Ikkis commands. Together, Ikki and Metabee will duel opponents such as the Rubberobo gang and local bullies while they prepare for an upcoming Robattle Tournament - but their worst opponents are each other! Will Ikki and Metabee stop arguing long enough to climb to the top? TensaiOkamura Action Non-Human Protagonists Proxy Battles Robots Tournaments Based on a Video Game 1999",3.35
7764,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,miniseries,"Hiroshi Yuki has just picked up Kiwame Quest, the realest VRMMO ever made. But this RPG is TOO lifelike; he can smell, taste, feel—and when he’s hurt in it, his physical body is hurt too. Even worse, his abilities in this adventure suck as much as they do in daily life. This was supposed to be immersion, not reality. Consumed with winning, he swears he’ll conquer this game—even if it kills him! LightTsuchihi Action Comedy Fantasy MMORPG RPG Virtual Reality Based on a Light Novel Violence 2021",3.35
7765,Last Note: Akatsuki Arrival,movie,No synopsis yet - check back soon! LastNote Vocaloid 2012,3.35
7766,Genshiken: Second Generation Specials,movie,No synopsis yet - check back soon! ShimokuKio Comedy Seinen Otaku Culture Based on a Manga 2013,3.35
7767,Monster Rancher 2,longseries,Second season of Monster Rancher. HiroyukiYano Action Adventure Fantasy Monster-of-the-week Monsters Person in a Strange World Based on a Video Game 2000,3.35
7769,Last Note: Houkago Stride,movie,No synopsis yet - check back soon! LastNote Vocaloid 2012,3.35
7771,Manga Kodomo Bunko,longseries,No synopsis yet - check back soon! TsuneoMaeda Drama Fantasy Episodic Family Friendly 1978,3.35
7773,Kyushu Love Milk Club,movie,No synopsis yet - check back soon! YoshiharuSatou Commercials Promotional Short Episodes 2006,3.35
7774,Dokkoida?!,miniseries,"Sakurazaki Suzuo has recently returned to his hometown of Nakasora City, eager for a part-time job; yet none can be found. After a series of heroic events, Suzuo finds himself in the company of a young girl who offers him a bargain he almost can’t refuse: wear a “toy” belt, developed by the intergalactic Otankonasu Company, and be the hero of the universe! With no money in sight, Suzuo has no choice but to accept, but he has no idea what he just got himself into! The belt transforms him into the justice-wielding Dokkoida, and he must now work for the Galaxy Union Police Department, arresting galactic criminals with his 108 deadly blows. As if things weren’t bad enough, the defeated criminals have a habit of donning a secret identity and moving into his apartment complex, causing much mayhem and hijinks. Transform, Dokkoida! Save the universe with your suit of strength! HitoyukiMatsui Action Comedy Sci Fi Shounen Aliens Non-Human Protagonists Superheroes Superpowers Based on a Light Novel 2003",3.35
7775,Space Runaway Ideon,longseries,"After colonizing the planet Solo of the Andromeda galaxy, earthling scientists uncover ancient mechanisms built by a lost civilization from long ago. They name this vanished culture the Sixth Civilization as it is the sixth example of intelligent alien life the human race has encountered. What the earthlings do not realize, however, is that they are soon to encounter the seventh: the Buff Clan, humans from a world other than Earth who have come seeking a legendary power source known as the Ide. Fortuitously, just as first contact with the Buff Clan turns violent, the earthlings discover that the mechanisms of the Sixth Civilization can combine to create a giant mecha called Ideon powerful enough to protect them. But is Ideon in fact the power source of legend, and what is the extent of its might? The earthlings can only hope to discover the answer before it is too late. YoshiyukiTomino Mecha Sci Fi Outer Space Original Work Violence 1980",3.35
7777,Momo: The Girl God of Death,movie,"Momo is a sympathetic death god who cries every time she sees a touching moment. Though she brings death, she also allows the victim to complete their last wish before taking them away. Accompanying her through her adventures is a winged black cat named Daniel. With a huge scythe in tow, Momo strives to touch the lives of humankind and overflow the world with pure kindness, by fulfilling the soon deceased’s tasks. TomomiMochizuki Drama Shinigami Supernatural Based on a Light Novel 2006",3.35
7778,Hell Teacher Nube: Summer Holiday of Fear! Legend of the Sea of Suspicion,movie,"When Nube and his class arrive at a small island to carry out beach activities, they heard a forbodding tale from an old man residing on the island. Legend has it that there is a creature known as the sea spider in the open seas around the island. When the creature is past 200 years old, it will turn into a monster and devour humans to satisfy its appetite. However, curiosity kills the cat and Yukime decides to pursue the authenticity of the legend. And then, a girl suddenly appears on the beach. Possessed with a strange charm, she immediately attracts Hiroshis attention and overcomes him. Soon later, strange things start to happen to the others whereby Kyoko and Ritsuko-sensei got attacked under strange circumstances. The true identity behind the mysterious girl is questioned and the legend behind the sea creature seems to be true after all. ShoMakura Island School Life Supernatural Based on a Manga 1997",3.35
7779,Lamaze-P: Nanchoukei Danshi ga Taosenai,movie,No synopsis yet - check back soon! Lamaze-P Vocaloid 2016,3.35
7780,Giga-P x Mitchie M: Wah Wah World,movie,Giga and Mitchie M made a theme song for a new smartphone game Project SEKAI Colorful Stage! feat. Hatsune Miku. This is the Vocaloid version of it. MitchieM Vocaloid 2020,3.35
7781,Utsu-P: Ikiteru Obake wa Ikiteiru,movie,No synopsis yet - check back soon! Utsu-P Vocaloid 2016,3.35
7782,GeGeGe no Kitarou (1996),longseries,No synopsis yet - check back soon! ShigeruMizuki Comedy Japanese Mythology Supernatural Youkai 1996,3.35
7783,Chiisana Koi no Monogatari: Chichi to Sally Hatsukoi no Shiki,movie,"Tiny schoolgirl Chiiko develops a crush on older boy Saly and believes herself to be his girlfriend, although Saly is already involved in a love triangle with a girl called Tonko. ToshioHirata Romance Shoujo Based on a Manga 1984",3.35
7784,The Fruit of Evolution: Before I Knew It My Life Had It Made,miniseries,"Seiichi Hiiragi is at the bottom of his school\s social pecking order, but one day, he and his entire school are upended when everyone in the school is transported into another world. Seiichi finds himself alone and approached by a gorilla, who instead of attacking him, proposes to him. At the moment that Seiichi thinks that I guess a gorilla is fine too, they find the Fruit of Evolution, and when they eat it, their lives are suddenly changed once again. Miku Adventure Comedy Drama Fantasy Romance Isekai Person in a Strange World RPG Summoned Into Another World Based on a Light Novel Violence 2021",3.35
7785,Konohana no Sakuya Mori,movie,"In the first episode in a series of films centered on The Great East Japan Earthquake, an amnesiac wolf traces his past and escapes from hunters who are after him in an eerily beautiful moonscape. TomoyasuMurata No Dialogue Shorts Stop Motion Animation 2015",3.35
7788,B Rappers Street,longseries,Yo!Hey is a boy who raps to the beat of his farts. YuutarouSawada Comedy Crude Music Short Episodes 2019,3.35
7789,Yasashi-sa,movie,No synopsis yet - check back soon! KoujiNanke Minna no Uta 2001,3.35
7790,Hulaing Babies Petit,miniseries,No synopsis yet - check back soon! YoshinoriAsao Comedy Chibi Short Episodes Original Work 2020,3.35
7791,Aesop's World,longseries,"Three kids living in the Watermill Village were planning a picnic in the mountains. Of course Pico, a young hamster kid wanted to go to the mountain peak with her friends Tocho and Fufu. The three of them fall in a hidden lake beneath the mountains and discovered a giant fish named Aesop floating. The knew that the fish wanted to fly again, in order to do that, they must collect mystical scales all across the world. Because of this, they start their search for the mystical scales in order for Aesops dream to come true. MitsuoKobayashi Adventure Fantasy Animal Protagonists Anthropomorphic Family Friendly Non-Human Protagonists Short Episodes 1999",3.35
7792,Gatekeepers,courseries,"The year is 1969 and alien invaders are trying to dominate the world. The only hope for Earth is AEGIS, a group of teenagers with the special ability to open Gates that let them harness elemental powers gated from another dimension. AEGIS must now seek out other gatekeepers in order to stand a chance against the destruction of the world. HiroshiYamaguchi Action Comedy Sci Fi Aliens School Life Superpowers 2000",3.35
7793,Leave it to Piyoko!,ova,"Planet Analogue: home to small creatures, barren wastelands, and the Black Gema Gema Gang! Made up of a veterinarian, a dentist, a physician and eight-year-old Piyoko, the dastardly but oft well-meaning group always finds itself in the most bizarre and unusual situations. From learning how to brush their teeth to choosing a new flag design, Piyoko and her cohorts are constantly in the middle of an adventure – especially ones that involve Dejiko, Puchiko, and the rest of the Di Gi Charat cast! Koge-Donbo Comedy Aliens Chibi Episodic Gag 2003",3.35
7796,Ai Shoujo Pollyanna Monogatari,longseries,"Motherless since birth, Pollyanna was an ordinary happy-go-lucky girl, leaving peacefully with her father, the vicar. Then one day her life changes completely when her father dies and she has to live with her aunt whom she has never met before. In the beginning, she seems to be detested by her but as time passes, they develop a very strong bond. KozoKuzuha America Family Friendly Family Life Historical Lifestyle Change Orphans World Masterpiece Theater Based on a Novel 1986",3.35
7798,Polyphonica,miniseries,"Polyphonica is a place in which humans and spirits coexist; spirits gain their energy from the music of humans known as Dantists. The spirit Corticarte and her Dantist Phoron, along with their friends in the Tsuge Divine Song Players Dispatch Office, take on cases to help the population deal with problems requiring their unique skills. As they go about their day-to-day work, they learn more about the nature of the cooperation between humans and spirits, as well as their relationship with each other. MasamiShimoda Fantasy Romance Magic Music Based on a Visual Novel 2007",3.35
7799,Last Note: Mukiryoku Coup d'État,movie,No synopsis yet - check back soon! LastNote Vocaloid 2013,3.35
7801,Sasami: Magical Girls Club 2,miniseries,"Life is never easy for a magical girl, especially when your parents won’t let you practice your spells or even fly on your broomstick! When Sasami and her friends are invited back to the Magic World for summer camp, the chief sorceress uses an enchantment to bring the girls across without the knowledge of their teacher Washu; and during their trip, seeds of doubt threaten to break up the girls friendship for good. Now, the Magical Girls Club must pull together to finally master their powers and conquer the mysterious challenges ahead of them! YoshihiroTakamoto Magical Girl Family Friendly Henshin Heroes Magic Original Work 2006",3.35
7802,Makyou Densetsu Acrobunch,courseries,"Archeologist Tetsuya Randou leads his family on an adventure around the world to find out the legend of Quaschika, which supposedly hides an unfound treasure. At the same time the Goblin Clan, who normally live underground, is also trying to find the treasure of Quaschika for their own purposes. To help fight off the Goblin Clan during their adventure, the Randou family has the giant robot Acrobunch, formed by the vehicles each family member pilots. TakaoYotsuji Action Mecha Sci Fi Outer Space 1982",3.35
7806,Kyou no 5 no 2: Kagai Jugyou - Mizukake,movie,"One hot summer day, Class 5-2\xa0heads to the school pool for gym class. As everyone prepares to leave, they go to wash their eyes, but when Ryota tries to get away without doing so, Chika soon berates him by saying that he’ll regret it later when they start to hurt. With Ryota refusing to give in, and the next class rapidly approaching, Chika and the others take it upon themselves to ensure that the stubborn boy washes his eyes, whether he likes it or not! CoharuSakuraba Comedy Seinen School Life Based on a Manga 2008",3.35
7807,Robotan,longseries,No synopsis yet - check back soon! YoshijiKigami Comedy Sci Fi Family Friendly Non-Human Protagonists Robots Based on a Manga 1966,3.35
7809,True Tears Epilogue,movie,No synopsis yet - check back soon! HajimeKikuchi Drama Based on a Visual Novel 2010,3.35
7810,Seishun Anime Zenshuu,longseries,No synopsis yet - check back soon! FumioKurokawa Drama Episodic Historical Based on a Novel 1986,3.35
7811,Nono-chan,longseries,"Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise. HisaichiIshii Comedy Slice of Life Family Friendly Family Life Based on a 4-Koma Manga Based on a Manga 2001",3.35
7812,Ping Pong Club,longseries,"At Ina Middle School, the boys’ Ping Pong Club is seen as more of a joking matter than something worth the schools budget. It doesnt help that they are constantly being outdone by the girls team and their fiery-tempered coach, as well the fact that most of the boys on the team care more about their ding dongs than their ping pongs! In a desperate attempt to motivate the team, the boys coach introduces a hot-bodied female manager, who might just bring a sexual tension to the team that could work to their advantage. But can these hopeless boys improve their game enough to emerge victorious at the upcoming tournament and win the prize shes willing to give? MinoruFuruya Comedy Ecchi Seinen Sports Crude Gag Ping Pong School Club School Life Based on a Manga Nudity, Sexual Content 1995",3.35
7813,Dr. Slump Movie 8: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,movie,Arale saves a baby shark at the beach and in gratitude the sharks invite she and her family to visit the Underwater Kingdom. AkiraToriyama Comedy 1994,3.35
7814,Release the Spyce,miniseries,"To everyone around her, Momo lives a quiet life of solitude: going to school and keeping to herself. To the members of the private intelligence agency Tsukikage, she is their newest recruit, learning to hone her skills to help fight against a global crime organization. Under the guidance of senior member Yuki, Momo undergoes a series of dangerous, deadly and diabolical training scenarios and missions. With each victory, Momos confidence in her skills grows but itll take more than that to help keep not just her home but the world safe. AkiraSatou Action School Life Original Work 2018",3.35
7815,Konpeitou,movie,No synopsis yet - check back soon! HiromiOuta Family Friendly Minna no Uta 2011,3.35
7816,Mahou Sensei Negima! Introduction Film,ova,No synopsis yet - check back soon! KenAkamatsu Comedy Shounen Short Episodes Based on a Manga 2004,3.35
7818,Kotetsushin Jeeg,miniseries,"The year is 2025. Fifty years ago, Queen Himika and the evil Jama Empire attacked mankind; Kyushu, Japan, was their battleground. Ultimately an event caused fog to surround Kyushu, effectively cutting it off from the rest of Japan; and the mainland has lost contact with it ever since. In the present, students like the motorcycle-loving Kenji Kusanagi have little knowledge of these events, except what they learn in history books. However, when Himika and her Phantom Gods appear once more, Kenji finds himself in the middle of the battle - and a cockpit. Now, as the pilot of the mecha Jeeg, Kenji and a few unlikely classmates must battle the forces of evil and save the world! JunKawagoe Action Mecha Sci Fi Super Robot Original Work 2007",3.35
7820,Majokko Tickle,longseries,"On Tikos 11th birthday, her father gives her a special book. Inside the book is a trapped witch, Majokko Tickle. When Tiko frees Tickle from the book, she uses her magic to pass off as Tikos twin sister. GoNagai Fantasy Magic Witches 1978",3.35
7822,Naruto Spin-Off: Rock Lee & His Ninja Pals,longseries,"Rock Lee is a youth from the Hidden Leaf Village who strives to become a worthwhile ninja - despite the fact that he is unable to use ninjutsu! Alongside fellow teammates Neji and Tenten, Lee must overcome this obstacle while completing a variety of absurd training routines, protecting the village from the always-scheming Orochimaru, and somehow finding time to win over the heart of his beloved Sakura, who rejects his every advance. However, this matters not to the eternally cheerful and energetic boy, who seems to be undeterred by failure of any sort. Whether competing at the annual sports meet, acting as bodyguard for the Hokage, or battling against his friend and rival Naruto, Lee always gives 110% effort, determined to live out his springtime of youth to the fullest! KenjiTaira Comedy Shounen Chibi Gag Ninja Parody Based on a Manga 2012",3.35
7823,GeGeGe no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,movie,No synopsis yet - check back soon! ShigeruMizuki Japanese Mythology Supernatural Youkai 1997,3.35
7824,Saga of Tanya the Evil - War Report,movie,"Tanya reflects on how she went from Tokyo salaryman to 11-year old mage, and swears her revenge on Being X for putting her here. YuujiHosogoe Action Fantasy Magic Military Recap Based on a Light Novel 2017",3.35
7825,Gatekeepers 21,ova,"Japan, present day: Alien Invaders are everywhere, taking over peoples bodies. Fighting them is Isuzu Ayane, an introverted young girl with the ability to control powerful dimensional Gates. Under the guidance of Kageyama Reiji, a mysterious businessman, she battles Invaders and recruits new Gate Keepers. Will she and her new comrades be able to save the earth? HiroshiYamaguchi Action Sci Fi Aliens Superpowers 2002",3.35
7826,Sakura Capusule,movie,"In the suburbs of Tokyo, a group of six girls have played together at the park since they were little, but eventually have to switch schools. Before they leave, they plan to make a time capsule, but are unable to do so. The story follows the girls four years later as they meet again. AkiyoOohashi Drama Slice of Life Childhood Friends Original Work 2014",3.35
7827,The Boy Who Saw The Wind,movie,"Amon is a boy with mysterious powers: he can talk to the animals and float on the air streams. But Branich, the leader of the oppressive Golden Snakes, wants to harnass Amon\s power to complete the ultimate weapon so that he can rule the world. After losing everything that he holds dear, Amon must now fight to save his friends from destruction at the hands of the Snakes, and his very own power. KazukiOmori Adventure Fantasy Military Orphans Superpowers Based on a Novel Violence 2000",3.35
7828,Mashin Eiyuuden Wataru,longseries,"Wataru Ikusabe was just a normal fourth grader - until he was somehow transported into another world and dubbed its savior. In this world, the evil King Doakudar has taken over Mt Soukai and caused the rainbow in the sky to turn white, and its up to Wataru to defeat him and return the colors to the rainbow. With the help of the young Shinobu clan leader Himiko, gruff Shibaraku and the feathered spy Kuruma, Wataru will climb the mountain and bring down the forces of evil with his mecha Ryujinmaru! Sunrise Adventure Comedy Mecha Sci Fi Person in a Strange World 1988",3.35
7829,Macross Frontier: Gooorgeous,movie,The official music video for\xa0Gooorgeous\xa0by\xa0Mayn. May'N Idols CG Animation 2017,3.35
7830,A Journey Through Fairyland,movie,"Michael is a young oboist at a conservatory and a talented gardener, but as he prefers the greenhouse to the obo his skills as a musician are lacking. He saves a potted plant and is thanked by Florence, the flowers fairy. She gives him the Semper Wand, which allows him to follow her into Flowerland – a world populated by a whole host of creatures, including a mischievous goblin who wants to conduct with the Wand. It is a world of wonder, ethereal beauty and music - but is threatened by the changing of the seasons. Can Michael save this world? Does his music career have a future? MasamiHata Fantasy Romance Classical Music Family Friendly Interspecies Relationship Magic Music Original Work 1985",3.35
7831,Mitchie M: Ansatsu Princess,movie,No synopsis yet - check back soon! MitchieM Action Assassins Vocaloid 2019,3.35
7832,Inagawa Junji no Sugooku Kowai Hanashi,movie,No synopsis yet - check back soon! JunjiInagawa Horror Short Episodes Supernatural Based on a Novel 2017,3.35
7833,Virtua Fighter,longseries,"Legends speak of a great constellation of stars, only visible to those who possess true strength. Having lost his ability to see those stars, Akira walks the earth in search of answers. His quest pits him against powerful fighters like the Koenkan and the mysterious Kage Maru, and lands him in the center of an international conspiracy. HidekiTonokatsu Action Hand to Hand Combat Martial Arts Based on a Video Game 1995",3.35
7835,The Heroic Legend of Arslan (1991),ova,"Arslan is the prince of the Palse kingdom, a beautiful country which is located amidst the sand dunes. Peace in the land of Palse is soon disrupted when the Lusitanian army attacks, led by a man known as Silvermask who claims to be the true heir to the throne. After fleeing his home under siege with his only remaining general Daryoon, the young prince travels from kingdom to kingdom, gathering the support and loyalty of new friends, including Gieve the minstrel, Pharangese the warrior priestess, and Narsus the master strategist to help him reclaim his beloved Palse. YoshikiTanaka Adventure Fantasy Magic Medieval Middle Eastern Political Rebellions Royalty Swordplay War Based on a Light Novel Mature Themes, Suicide, Violence 1991",3.35
7836,Ninja Scroll: The Series,miniseries,"A half-man, half-beast is chased by foes wielding power of an unpleasant nature. He would certainly be slaughtered, his mission failed, if not for the intervention of a wandering mercenary -- Kibagami Jubei. With the last of his strength, he gives Jubei a mysterious jewel, thereby transferring his mission: deliver the jewel at all costs to the Priestess of Light. The mystery of the jewels powers, and the identities of those fiends who quest for it... these are questions whose answers will only be found through blood and battle. YoshiakiKawajiri Action Feudal Japan Ninja Original Work Violence 2003",3.35
7837,Bomberman B-Daman Bakugaiden V,longseries,No synopsis yet - check back soon! ToshifumiKawase Action Adventure Sci Fi Family Friendly Monster-of-the-week Superpowers Based on a Video Game 1999,3.35
7838,Yorushika: Kumo to Yuurei,movie,No synopsis yet - check back soon! Suis Ghosts Supernatural 2018,3.35
7839,3x3 Eyes,ova,"Yakumo was just a normal boy... until he died in a tragic accident. Now, resurrected by the last of a race of powerful creatures, he has become her Wu, an immortal servant. Together, they must battle against Benares, the all-powerful Wu of the dark lord Shiva. What dark secrets from Pais past will this battle unearth? YuuzouTakada Action Fantasy Seinen Demons Magic Based on a Manga Explicit Violence 1991",3.35
7841,Deltora Quest,longseries,"In times long past, the Shadow Lord was defeated by the Belt of Deltora, and its creator Adeen united the seven tribes into one kingdom called Deltora. The Shadow Lord bid his time, striking again generations later; he destroyed the belt and scattered the gems, thus leaving the land open to be easily subjugated. Now, in the present day, a young man named Lief does what he can to fight the forces of the Shadow Lord. On his 16th birthday, Liefs father confesses to being the last king of Deltora’s friend, and has reforged the sacred belt. With new hope, Lief takes it upon himself to find the gems, restore the belt, and to bring hope to the people of Deltora once more! Together with Barda, an ex-palace guard, Lief sets out on an adventure of a lifetime! MitsuruHongo Action Adventure Fantasy Medieval Swordplay Based on a Novel 2007",3.35
7843,MARS RED,miniseries,"Its 1923, and vampires have existed for quite a while. But now, the number of vampires is increasing. and a mysterious, artificial blood source called Ascra has appeared. The Japanese government, in turn, creates “Code Zero,” a unit within the army tasked with taking down the vampiric forces. And what better way to track vampires than by using vampires? Created by Lieutenant General Nakajima, this unit has historically been in the business of information war, but has been re-assigned to solve the vampire crisis. Its up to Code Zero and the S-class vampire Deffrot to investigate this increase and put a stop to it before society crumbles. BunouFujisawa Action Sci Fi Historical Supernatural Vampires 2021",3.35
7845,Chikasugi Idol Akae-chan,miniseries,No synopsis yet - check back soon! KenjiMutou Comedy Short Episodes Based on a Mobile Game 2014,3.35
7847,Hachioji-P: Twinkle World,movie,No synopsis yet - check back soon! Wakamurap Vocaloid CG Animation 2014,3.35
7848,Bottom-tier Character Tomozaki OVA,ova,No synopsis yet - check back soon! KenichiIshikura Comedy Romance Shounen Slice of Life Short Episodes Based on a Light Novel 2021,3.35
7850,Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,movie,No synopsis yet - check back soon! YoshitoUsui Comedy Crude 2008,3.35
7851,Akichi Asobi: Playground,movie,"A boy is always alone, at school, or at home. One day he finds a sandlot on the way home and thinks of making a town of his own. Another boy was watching his play and starts to imitate him. RyosukeOshiro Shorts Original Work 2013",3.35
7852,Pororo the Little Penguin: The Racing Adventure,movie,No synopsis yet - check back soon! YoungKyunPark Fantasy Animal Protagonists Anthropomorphic Birds Cars Family Friendly Korean Animation Non-Human Protagonists Penguins Racing CG Animation 2013,3.35
7855,Futsuu tte Nandarou?,movie,No synopsis yet - check back soon! MiraiMizue Educational Episodic Family Friendly Short Episodes 2018,3.35
7856,Hanasaka Tenshi Tenten-kun,longseries,A foolish clumsy angel came to the human world to help a very unlucky boy. But more accidents are then created... KazunoriMaruyama Comedy Shounen Angels Crude Based on a Manga 1998,3.35
7857,Bouken Korobokkuru,longseries,No synopsis yet - check back soon! YonehikoWatanabe Adventure 1973,3.35
7858,Zo Zo Zombie,longseries,"Zo Zo Zombie is the best undead friend you never had! Who else could use his own intestines as a jump rope or peel his own skin to use as a coat? Together with his best [human] friend Isamu, Zo Zo Zombie is just trying to do some good in this world but somehow always ends up in pieces. Literally. YasunariNagatoshi Comedy Shounen Family Friendly Non-Human Protagonists Supernatural Zombies Based on a Manga 2020",3.35
7859,Chaos;HEAd,miniseries,"Takumi is a reclusive otaku who wants nothing more than to be left alone to play online games and watch anime. He only attends the minimum necessary to pass his classes, and rarely leaves\xa0his cramped room\xa0except to purchase the newest figurines. One evening, while Takumi is chatting online with his friend Grim, a stranger called Shogun joins the channel and, after Grim leaves, posts a series of disturbing photographs depicting a man impaled to a wall with metal stakes. The following day, Takumi is horrified when he wanders into an alley and once again sees Shogun’s images – but this time, the gruesome scene is reality. From then on, Takumi sees the world through a new set of eyes; imaginary delusions meld with reality, and he isn\t sure who he can trust. With suspicions and confusion at every turn, Takumi must struggle to determine what\s going on - but most importantly, whose eyes are those eyes? TakaakiIshiyama Mystery Psychological Supernatural Thriller Based on a Visual Novel Violence 2008",3.35
7860,Tanabata no Oto,ova,No synopsis yet - check back soon! ToshitakaShinoda Slice of Life Promotional Short Episodes 2019,3.35
7861,Rapid Rouge,movie,"War is a constant. But the prize has changed. Lives were lost over oil in yesteryears. \xa0But now, it is water. Yatsushima was a nation blessed with water resources, but nations of the Aestern realm manipulated the ruling shogunate, turning it into a puppet regime. The outflow of water from Yatsushima to neighboring nations severely impacted the lives of its citizens. Some were unwilling to be complacent to such heinous acts. Many of these rebels were young, and their insurrection was the spark that started the Yatsushima Revolution. MahiroMaeda Action Japan Animator's Exhibition Samurai Shorts War CG Animation 2015",3.35
7862,Dokaben,longseries,No synopsis yet - check back soon! ShinjiMizushima Sports Baseball Based on a Manga 1976,3.35
7864,Hi-Speed Jecy,miniseries,"Jecy is a young man on a quest for revenge; he lost his parents to the hands of the organized crime syndicate called the Bismark House - a group on a hunt to acquire a product called ‘lyzorium at any cost.\xa0 With incredible abilities such as increased speed and agility, Jecy travels through space with a girl named Tiana; Fork Green, a priest of the Heartland religion who kills criminals slowly to send them to heaven; and a living ship called Paolon. However, Jecys revenge wont come easily - a woman named Jera, her bloodthirsty little brother Cross and a number of other adversaries stand in their way! ShigenoriKageyama Action Sci Fi Based on a Novel 1989",3.35
7865,Pianoman,movie,"The still white space expands as far as the eye can see. A man whos lost his memory awakens. An enormous door stands before him, and theres an old temple in the distance. The building seems to be calling to him, and the man approaches it. Theres an old piano there. The moment he touches it, horrifying memories return to him. Who is this man, really? And what is the truth of this space...? TakaakiNakahashi Fantasy Amnesia Music Shorts CG Animation Original Work 2020",3.35
7866,Getter Robo,longseries,"Professor Saotome is finishing up his lifelong Getter project: a series of space exploration ships powered by Getter rays from the sun. These ships are able to combine into three different robot forms called Getter Robo. At the same time, King Gora of the underground Dinosaur Empire has completed his mechasaurus project and begins his plans for world domination! Can Getter Robo’s pilots Ryoma, Hayato and\xa0Musashi defend the earth from the forces of the Dinosaur Empire, even with the help of the lovely Michiru from the Command Ship? ShunsukeKikuchi Action Mecha Sci Fi Combining Mecha Super Robot Based on a Manga 1974",3.35
7868,Tsurikichi Sanpei,longseries,"Mihira Sanpei talks with a Tohou accent and is a down-to-earth boy with a cheerful and optimistic personality. However, when it comes to fishing, he becomes very serious and is a youth who enjoys fishing more than anything else. The village where he lives in is a natural environment which provides different kinds of fishing challenges. Despite his lack of experience, Sanpei has a first-rate sense with regards to fishing and decides to maxmise his potential by entering into different fishing contests. As he faces various challenges, he learns to solve difficult problems and learn from his mistakes to the extent that he is able to fish anything out of the waters. Along the way, he encounters all kinds of rivals and companions who increase his experience points and help him in his growth. YoshikataNitta Comedy Shounen Slice of Life Sports Fishing Tournaments Based on a Manga 1980",3.35
7869,kemu: Kamisama Nejimaki,movie,No synopsis yet - check back soon! Kemu Vocaloid 2012,3.35
7870,Palette: Shikisai no Shoujo,movie,No synopsis yet - check back soon! HirotaHirata Drama Fantasy No Dialogue Shorts 2017,3.35
7871,Boukyaku Battery: Jump Festa 2020 Special,movie,No synopsis yet - check back soon! EkoMikawa Comedy Shounen Sports Baseball School Club Based on a Manga 2020,3.35
7872,Christopher Columbus,longseries,"Christopher Columbus is a beautiful and entertaining series that recaptures the time when Columbus first rose to greatness, later to become one of historys greatest catalysts for his eventual discovery of America. Set in the 15th century, this series depicts his marvellous adventures and dramatic life throughout both his childhood, as well as adulthood, until his eventual death. FumioKurokawa Adventure 15th Century Biographies Historical 1992",3.35
7873,Tokko,miniseries,"Ranmaru\xa0is a young cop with a dark past. As one of the few survivors of a mindless slaughter in his apartment block, he joins a special unit called TOKKI to avenge his parents. In his first case, the already ghastly murder scene turns to one of terror, as the inhuman killers start to massacre the police. After being saved at the last minute by a secret unit named TOKKO who wield swords instead of guns, Ranmarus mind is filled with questions and he is determined to find out the answers, no matter what it takes. What are these monsters, and why did they recognize him? TooruFujisawa Horror Seinen Police Based on a Manga Explicit Violence, Mature Themes, Nudity, Physical Abuse 2006",3.35
7874,HoneyWorks: Yakimochi no Kotae,movie,No synopsis yet - check back soon! Honeyworks Romance School Life Vocaloid 2013,3.35
