Rank,Name,Episodes,Tags,Rating
28,The Promised Neverland,miniseries,"emma, norman, ray, and many other siblings live at an isolated orphanage cut off from the outside world. they live a charmed life surrounded by friends and watched over by mama, their caretaker, until they leave the house for a foster family by the age of twelve. the only rule is that they must never venture outside of the gate that isolates them from the rest of society, for dangers await. but one day, the children learn the true horror of what\s in store for their short lives... kaiushirai fantasy horror mystery sci fi shounen dark fantasy isolated society mind games noitamina orphans outside world psychological thriller based on a manga mature themes, domestic abuse, self-harm 2019",4.45
29,Spirited Away,movie,"chihiro and her family are on their way to their new home, when they discover an abandoned amusement park. after chihiros family mysteriously turn into pigs, she is thrown into a surreal world of magic and fantasy. join her as she struggles to survive in the bathhouse of the gods, ruled by an evil witch who has stolen not only her name, but her way back to the real world. hayaomiyazaki adventure fantasy curse family friendly japanese mythology magic person in a strange world youkai original work 2001",4.45
30,That Time I Got Reincarnated as a Slime Season 2: Part II,miniseries,continuation of that time i got reincarnated as a slime season 2. fuse action adventure fantasy shounen cheats demons isekai kingdom building magic management modern knowledge monsters person in a strange world political reincarnation rpg slimes based on a manga physical abuse 2021,4.45
31,Heaven Official's Blessing,miniseries,"xie lian is a kind, gentle deity who just cant seem to catch a break. the crown prince of a long-destroyed kingdom, hes endured centuries of plagues, violence, poverty, and multiple demotions that have gotten him kicked out of heaven. now a god with no followers, hes reduced to collecting scrap in the mortal realm. when his banishment is finally lifted and he is allowed to ascend to heaven for a third time, his rotten luck holds true when his ascension causes the destruction of a heavenly palace; sending the long-suffering immortal right back to the mortal realm to make up for his misdeed by exorcising ghosts. xie lian soon meets a mysterious man in red who is clearly more than he seems, and the two grow ever closer as they begin to uncover dark secrets the heavenly realm would have much preferred to keep hidden... moxiangtongxiu action bl comedy drama romance shounen-ai afterlife ancient china chinese animation demon king demons ghosts gods heaven historical interspecies relationship non-human protagonists opposites attract religion royalty supernatural xianxia based on a web novel bullying, violence 2020",4.45
32,Ranking of Kings,movie,"bojji, a deaf, powerless prince who cannot even wield a children\s sword. as the firstborn son, he strives hard and dreams of becoming the world\s greatest king. however, people mutter about him behind his back as a good-for-nothing prince and no way he can be king. bojji is able to make his first ever friend, kage (shadow) —\xa0a literal shadow on the ground who somehow understands bojji well. (kage is a survivor of the kage assassin clan that was all but wiped out. no longer a killer, kage now makes ends meet by stealing.) the story follows bojji\s coming-of-age as he meets various people in his life, starting with his fateful encounter with kage. sousuketoka action adventure fantasy coming of age disability royalty based on a manga violence 2021",4.45
33,Mushoku Tensei: Jobless Reincarnation - Part II,miniseries,"rudeus greyrats new life takes a shocking turn when the country of roa is overcome by a blinding light, leaving the fate of his family and friends unknown. he and his student, eris are transported to the demon continent, a foreign land which is strange even to rudy. when a mysterious figure, claiming to be a god and offering advice, rudy must decide whether or not this stranger can be trusted. can rudy and eris make it back home, or will this be the last new world in which rudy ever awakens? manabuokamoto action adventure drama fantasy romance demons isekai magic neet person in a strange world reincarnation based on a light novel mature themes, violence 2021",4.45
34,Gintama.: Shirogane no Tamashii-hen 2,courseries,continuation of\xa0gintama.: shirogane no tamashii-hen. hideakisorachi action comedy drama sci fi shounen aliens crude feudal japan gag samurai slapstick swordplay based on a manga 2018,4.44
35,Clannad After Story,courseries,"summer break is now over; the second semester has started for tomoya, nagisa and the others, and little has changed. since tomoyas\xa0relationship with his father is still troubled, he continues to live with nagisa and her family, even if it means getting roped into organizing a baseball team for the family bakery. life at school continues as normal with sunohara as carefree as ever; however, when his sister mei voices her concerns about him, the series of events that follow place a strain on sunohara and tomoya’s friendship. whether its saving a person from themselves or passing on a message from the past, one thing’s for sure: no matter how tough things get, good friends will always be there to help out. tatsuyaishihara drama romance adult couples coming of age family life illness based on a visual novel drug use, mature themes 2008",4.44
36,Mo Dao Zu Shi,courseries,"as the grandmaster who founded the demonic sect, wei wuxian roamed the world in his wanton ways, hated by millions for the chaos he created. in the end, he was back-stabbed by his dearest shidi and killed by powerful clans that combined to overpower him. he incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the clans—lan wangji, his archenemy. moxiangtongxiu action adventure mystery ancient china chinese animation cultivation historical rebellions supernatural swordplay war xianxia zombies based on a web novel violence 2018",4.44
37,Gintama': Enchousen,miniseries,third season of gintama. hideakisorachi action comedy drama sci fi shounen aliens crude feudal japan gag parody samurai slapstick swordplay based on a manga 2012,4.44
