Rank,Name,Tags,Rating
35,Clannad After Story,"summer break is now over; the second semest ha start for tomoya, nagisa and the others, and littl ha changed. sinc tomoyas\xa0relationship with hi father is still troubled, he continu to live with nagisa and her family, even if it mean get rope into organ a basebal team for the famili bakery. life at school continu as normal with sunohara as carefre as ever; however, when hi sister mei voic her concern about him, the seri of event that follow place a strain on sunohara and tomoya’ friendship. whether it save a person from themselv or pass on a messag from the past, one thing’ for sure: no matter how tough thing get, good friend will alway be there to help out. tatsuyaishihara drama romanc adult coupl come of age famili life ill base on a visual novel drug use, matur theme 2008 courseri highrank",4.44
36,Mo Dao Zu Shi,"as the grandmast who found the demon sect, wei wuxian roam the world in hi wanton ways, hate by million for the chao he created. in the end, he wa back-stab by hi dearest shidi and kill by power clan that combin to overpow him. he incarn into the bodi of a lunat who wa abandon by hi clan and is later, unwillingly, taken away by a famou cultiv among the clans—lan wangji, hi archenemy. moxiangtongxiu action adventur mysteri ancient china chines anim cultiv histor rebellion supernatur swordplay war xianxia zombi base on a web novel violenc 2018 courseri highrank",4.44
37,Gintama': Enchousen,third season of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2012 miniseri highrank,4.44
38,Banana Fish,"natur made ash lynx beautiful; nurtur made him a cold ruthless killer. a runaway brought up as the adopt heir and sex toy of papa dino golzine, ash, now at the rebelli age of seventeen, forsak the kingdom held out by the devil who rais him. but the hideou secret that drove ash\ older brother mad in\xa0iraq ha suddenli fallen into papa\ insati ambiti hands--and it\ exactli the wrong time for eiji okamura, a pure-heart young photograph from japan, to make ash lynx\ acquaintance... akimiyoshida action drama shoujo america crimin gang noitamina base on a manga drug use, matur themes, physic abuse, prostitution, sexual abuse, violenc 2018 courseri highrank",4.44
39,Douluo Dalu 2,second season of\xa0douluo dalu. hongyutang action fantasi chines anim cultiv xianxia base on a web novel cg anim 2018 courseri highrank,4.44
40,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,"while watch a movie, gintoki come upon a movi thief, a figur in japanes cultur often depict as a man with a video camera as a head. after scold the movi thief for hi actions, he find himself warp into anoth world via the camera lens. in thi world, 5 year have passed, and not onli ha the land of edo chang into an apocalypt wasteland, but kagura ha chang into a beauti woman with no chines speech pattern, shinpachi ha turn into a cool samurai who is not a tsukkomi anymore, and the gintoki of thi time ha gone missing, though he is assum to be dead. gintoki is determin to find out the truth of the deadli sick that is ravag edo, and also to understand the feel of kagura and shinpachi, who have been tri to deal with their leader\ disappearance. hideakisorachi action comedi drama sci fi shounen alien feudal japan samurai swordplay time travel base on a manga 2013 movi highrank",4.44
41,Gintama.,fifth\xa0season of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2017 miniseri highrank,4.44
42,Gintama.: Shirogane no Tamashii-hen,final arc of gintama. hideakisorachi action comedi drama sci fi shounen alien crude feudal japan gag samurai slapstick swordplay base on a manga 2018 miniseri highrank,4.44
43,Attack on Titan 3rd Season,"deep in the forest, eren continu to hone hi titan abil so that the militari can reclaim wall maria. but soon, the scout find themselv persecut for a crime they didnt commit, and eren and christa are thrust into the center of a polit conspiraci that put all of mankind at risk. human must fight against human - not titan - if they are to live anoth day, as all the while new secret about the titan emege... hajimeisayama action fantasi horror dark fantasi isol societi militari outsid world polit post-apocalypt base on a manga cannibalism, explicit violenc 2018 miniseri highrank",4.44
44,Steins;Gate,"the eccentr mad scientist okabe, hi childhood friend mayuri, and the otaku hacker daru have band togeth to form the futur gadget research laboratory, and spend their day in a ramshackl laboratori hang out and occasion attempt to invent incredible, yet gener useless, futurist gadgets. however, their claymor is a hydrat and their hair dryer flip breakers, and the onli invent that’ even remot interest is their phone microwave, which transform banana into ooz green gel. but when an experi goe awri the gang discov that the phone microwav can also send text messag to the past. and what more, the word they send can affect the flow of time and have unforeseen, far-reach consequences... hiroshihamasaki sci fi conspiraci lgbt theme psycholog thriller time travel base on a visual novel matur themes, suicid 2011 courseri highrank",4.44
45,Haikyuu!!,"shoyo hinata isnt a larg guy, but he got huge ambitions. ever sinc see a small player score in a nation championship, he been determin to becom the next big thing in high school volleyball. unfortunately, the one time he wa abl to pull enough player togeth to form a team in junior high, they were complet trash in their first and onli match against a team led by up-and-com setter tobio kageyama.now, enrol at the same high school where hi idol onc played, shoyo final go to get hi shot to join and play with a top team. there just one problem: tobio kageyama decid to attend the same school, and he alreadi consid one of the best player in the game. can a kid out of nowher hold hi own against the king of the court? or could the rivalri and competit actual be the best thing for both of them? haruichifurud shounen sport school club school life tournament volleybal base on a manga 2014 longseri highrank",4.43
46,Gintama',"gintoki sakata, kagura, and shinpachi shimura continu to scrape togeth a live as the freelanc jack-of-all-trad group yorozuya in edo while live among the sever odd human and alien that inhabit the peculiar metropolis. hideakisorachi action comedi drama sci fi shounen alien break the fourth wall crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2011 longseri highrank",4.43
47,One-Punch Man,"in a\xa0c plagued\xa0with thugs, mutants, and supervillains, saitama decid to becom a superhero for fun. he envis an excit life where he is constantli challeng with tough opponents, but after three year of intens training, he becom so strong that he defeat everi enemi with one punch! hi dream of\xa0engag challeng foe ha gone up in smoke, and hi overpow life is fill with overpow boredom. then a cyborg name geno learn about saitama amaz abil and beg him to make him hi disciple. saitama isnt interest in take on an apprentice, but geno isnt give up. can he convinc the disillusioned\xa0hero to teach him the secret of hi strength? and will saitama ever find a worthi adversari to battle? yuusukemurata action comedi sci fi seinen cyborg monster overpow main charact parodi satir superhero superpow base on a manga explicit violenc 2015 miniseri highrank",4.43
49,Gintama°,fourth\xa0season of gintama. hideakisorachi action comedi drama sci fi shounen alien break the fourth wall crude feudal japan gag parodi samurai slapstick swordplay base on a manga 2015 longseri highrank,4.43
50,Howl's Moving Castle,"the respons sophi led a rel normal life, safe within the wall of the hat shop in which she works; for outside, it is rumored, the evil wizard howl roam the land in hi mobil black castle. after a chanc and mystic encounter, poor sophi find herself transform by a witch spell which make her appear to be an old woman, and thu embark on an adventur to find howl’ castl and put an end to her curse. a mystic world of talk flames, sentient scarecrows, and magic aplenti await those who seek the legendari howl... dianawynnejon adventur fantasi romanc curs famili friendli lifestyl chang magic witch base on a novel 2004 movi highrank",4.43
51,Natsume's Book of Friends Season 6,preciou day with kind friends. a beauti yet fleet stori about peopl and spirits. natsum takashi had been abl to see youkai ever sinc he wa young and inherit hi grandmoth reiko’ book of friends. he spend hi day with hi self-proclaim bodyguard nyanko-sensei and free the youkai that were bound to the book. natsum continu to find way to protect the preciou day where he tri to find which path to follow through hi connect with spirit and those involv with them and be help out by friend who share the same feelings. yukimidorikawa drama fantasi shoujo bodyguard cat countrysid episod iyashikei japanes mytholog orphan supernatur youkai base on a manga 2017 miniseri highrank,4.43
52,JoJo's Bizarre Adventure: Golden Wind,"giorno giovanna is a young man that live in napl and is the son of dio, the nemesi of the joestar family. when he wa younger, he wa oppress and start act out, but one day, he save a gang member and then learn how to trust people. bizarrely, he never forgot that and learn how to be respect with\xa0 hi own gang that straighten him out. that’ also how he start aspir to becom a gang-star. now fifteen, giorno get in troubl with the gang passione, which control the italian mafia underworld, and now, he’ be targeted. hirohikoaraki action adventur shounen europ itali supernatur base on a manga anim abuse, matur theme 2018 longseri highrank",4.43
